"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 2, 5, 4]",0.143
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 2, 1, 5, 3, 4]",0.167
"[7, 0, 6, 2, 4, 5, 3, 1]",0.167
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 2, 4, 5, 3, 1]",0.167
"[7, 0, 6, 5, 3, 1, 4, 2]",0.250
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 2, 4, 5, 1, 3, 6]",0.200
"[7, 0, 6, 5, 3, 1, 4, 2]",0.250
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 3, 6, 2, 1, 5, 4]",0.250
"[7, 0, 6, 5, 3, 1, 4, 2]",0.250
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 3, 2, 5, 1]",0.143
"[7, 5, 0, 4, 2, 3, 6, 1]",0.143
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 5, 0, 4, 2, 3, 6, 1]",0.143
"[7, 0, 4, 3, 1, 5, 6, 2]",0.200
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 3, 1, 5, 6, 2]",0.200
"[7, 0, 4, 2, 5, 6, 1, 3]",0.250
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 4, 0, 6, 3, 1, 5, 2]",0.200
"[7, 0, 4, 2, 5, 6, 1, 3]",0.250
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 6, 5, 3, 1]",0.250
"[7, 0, 4, 2, 5, 6, 1, 3]",0.250
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 1, 0, 6, 4, 2, 5, 3]",0.250
"[7, 0, 4, 2, 5, 6, 1, 3]",0.250
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 6, 1, 3]",0.250
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 3, 2, 5, 4]",0.111
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 1, 5, 3, 6]",0.167
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 3, 1, 5, 6, 2]",0.200
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 4, 5, 3]",0.200
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 4, 0, 3, 2, 5, 6, 1]",0.167
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 4, 5, 3]",0.200
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 2, 0, 4, 5, 3, 6, 1]",0.143
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 1, 3, 5, 4, 2]",0.200
"[7, 0, 6, 1, 2, 5, 3, 4]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 4, 2, 5, 3, 6, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 4, 6, 2, 5, 3, 1]",0.333
"[7, 0, 6, 3, 1, 5, 4, 2]",0.333
"[7, 0, 6, 4, 2, 5, 3, 1]",0.333
